order_id,platform,city,order_date,category,quantity,amount
1001,Swiggy,Bengaluru,2026-06-01,Food,2,450.00
1002,Flipkart,Mumbai,2026-06-01,Electronics,1,12999.00
1003,Zerodha,Chennai,2026-06-01,Brokerage,1,0.00
1004,Swiggy,Hyderabad,2026-06-02,Food,3,620.00
1005,Flipkart,Delhi,2026-06-02,Fashion,2,1899.00
1006,Swiggy,Pune,2026-06-02,Food,1,310.00
1007,Zerodha,Bengaluru,2026-06-03,Brokerage,5,20.00
1008,Flipkart,Chennai,2026-06-03,Electronics,1,5499.00
1009,Swiggy,Mumbai,2026-06-03,Food,2,540.00
1010,Flipkart,Bengaluru,2026-06-04,Fashion,3,2799.00
1011,Zerodha,Delhi,2026-06-04,Brokerage,2,40.00
1012,Swiggy,Chennai,2026-06-04,Food,,480.00
1013,Flipkart,Pune,2026-06-05,Electronics,1,899.00
1014,Swiggy,Bengaluru,2026-06-05,Food,4,710.00
1015,Zerodha,Mumbai,2026-06-05,Brokerage,1,15.00
1016,Flipkart,Hyderabad,,Fashion,2,1499.00
1017,Swiggy,Delhi,2026-06-06,Food,2,395.00
1018,Zerodha,Chennai,2026-06-06,Brokerage,3,60.00
1019,Flipkart,Mumbai,2026-06-06,Electronics,1,3299.00
1020,Swiggy,Pune,2026-06-07,Food,1,260.00
